            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462240.222222222, A.D. 2029-Apr-13 17:20:00.0000, -1.029411460052431E+05, -3.175096498996425E+04, -2.355525748323256E+04,  4.661265274744228E+00,  4.056790009557254E+00,  1.779944602865796E+00,
2462240.222916667, A.D. 2029-Apr-13 17:21:00.0000, -1.026614149118364E+05, -3.150754060373059E+04, -2.344844818060070E+04,  4.663106632050692E+00,  4.057356381588189E+00,  1.780365842761226E+00,
2462240.223611111, A.D. 2029-Apr-13 17:22:00.0000, -1.023815729529560E+05, -3.126408220219505E+04, -2.334161353900557E+04,  4.664960811181247E+00,  4.057923850563130E+00,  1.780789237429670E+00,
2462240.224305556, A.D. 2029-Apr-13 17:23:00.0000, -1.021016193555892E+05, -3.102058972000505E+04, -2.323475342874437E+04,  4.666827938651782E+00,  4.058492399972043E+00,  1.781214800694963E+00,
2462240.225000000, A.D. 2029-Apr-13 17:24:00.0000, -1.018215533388555E+05, -3.077706309289677E+04, -2.312786771927277E+04,  4.668708142534259E+00,  4.059062012727813E+00,  1.781642546449075E+00,
2462240.225694444, A.D. 2029-Apr-13 17:25:00.0000, -1.015413741143644E+05, -3.053350225753976E+04, -2.302095627923983E+04,  4.670601552477681E+00,  4.059632671151416E+00,  1.782072488651157E+00,
2462240.226388889, A.D. 2029-Apr-13 17:26:00.0000, -1.012610808858275E+05, -3.028990715176511E+04, -2.291401897643368E+04,  4.672508299731520E+00,  4.060204356956303E+00,  1.782504641326638E+00,
2462240.227083333, A.D. 2029-Apr-13 17:27:00.0000, -1.009806728490293E+05, -3.004627771448436E+04, -2.280705567780048E+04,  4.674428517167504E+00,  4.060777051232742E+00,  1.782939018566159E+00,
2462240.227777778, A.D. 2029-Apr-13 17:28:00.0000, -1.007001491917074E+05, -2.980261388579851E+04, -2.270006624943369E+04,  4.676362339302589E+00,  4.061350734431730E+00,  1.783375634524453E+00,
2462240.228472222, A.D. 2029-Apr-13 17:29:00.0000, -1.004195090934932E+05, -2.955891560694188E+04, -2.259305055659434E+04,  4.678309902322102E+00,  4.061925386348284E+00,  1.783814503419222E+00,
2462240.229166667, A.D. 2029-Apr-13 17:30:00.0000, -1.001387517258823E+05, -2.931518282043069E+04, -2.248600846367911E+04,  4.680271344103234E+00,  4.062500986104529E+00,  1.784255639529875E+00,
2462240.229861111, A.D. 2029-Apr-13 17:31:00.0000, -9.985787625190616E+04, -2.907141547004932E+04, -2.237893983422628E+04,  4.682246804238876E+00,  4.063077512132191E+00,  1.784699057196231E+00,
2462240.230555556, A.D. 2029-Apr-13 17:32:00.0000, -9.957688182619214E+04, -2.882761350085278E+04, -2.227184453090246E+04,  4.684236424061771E+00,  4.063654942154748E+00,  1.785144770817158E+00,
2462240.231250000, A.D. 2029-Apr-13 17:33:00.0000, -9.929576759496331E+04, -2.858377685931400E+04, -2.216472241552404E+04,  4.686240346669052E+00,  4.064233253168986E+00,  1.785592794849117E+00,
2462240.231944445, A.D. 2029-Apr-13 17:34:00.0000, -9.901453269568086E+04, -2.833990549328702E+04, -2.205757334902844E+04,  4.688258716947137E+00,  4.064812421426242E+00,  1.786043143804615E+00,
2462240.232638889, A.D. 2029-Apr-13 17:35:00.0000, -9.873317625707388E+04, -2.809599935205155E+04, -2.195039719148327E+04,  4.690291681596976E+00,  4.065392422413012E+00,  1.786495832250623E+00,
2462240.233333333, A.D. 2029-Apr-13 17:36:00.0000, -9.845169739905000E+04, -2.785205838640684E+04, -2.184319380207802E+04,  4.692339389159299E+00,  4.065973230831261E+00,  1.786950874806837E+00,
2462240.234027778, A.D. 2029-Apr-13 17:37:00.0000, -9.817009523254633E+04, -2.760808254869132E+04, -2.173596303913192E+04,  4.694401990041150E+00,  4.066554820577874E+00,  1.787408286143949E+00,
2462240.234722222, A.D. 2029-Apr-13 17:38:00.0000, -9.788836885935068E+04, -2.736407179282060E+04, -2.162870476006921E+04,  4.696479636541806E+00,  4.067137164723906E+00,  1.787868080981734E+00,
2462240.235416667, A.D. 2029-Apr-13 17:39:00.0000, -9.760651737219095E+04, -2.712002607434094E+04, -2.152141882144885E+04,  4.698572482879580E+00,  4.067720235493147E+00,  1.788330274087096E+00,
2462240.236111111, A.D. 2029-Apr-13 17:40:00.0000, -9.732453985434771E+04, -2.687594535055137E+04, -2.141410507892773E+04,  4.700680685218851E+00,  4.068304004240137E+00,  1.788794880271993E+00,
2462240.236805555, A.D. 2029-Apr-13 17:41:00.0000, -9.704243537971377E+04, -2.663182958043035E+04, -2.130676338726004E+04,  4.702804401697518E+00,  4.068888441427632E+00,  1.789261914391285E+00,
2462240.237500000, A.D. 2029-Apr-13 17:42:00.0000, -9.676020301267505E+04, -2.638767872477678E+04, -2.119939360034170E+04,  4.704943792454804E+00,  4.069473516603489E+00,  1.789731391340435E+00,
